"","Suburb","Population.density.2015","year","population","POSTCODE"
"473","CRANBOURNE",1664.9,2007,15913,3977
"474","CRANBOURNE EAST",441.2,2013,11392,3977
"475","CRANBOURNE EAST",441.2,2006,4230,3977
"476","CRANBOURNE EAST",441.2,2007,4858,3977
"477","CRANBOURNE EAST",441.2,2011,8344,3977
"478","CRANBOURNE EAST",441.2,2009,6211,3977
"479","CRANBOURNE EAST",441.2,2010,6844,3977
"480","CRANBOURNE EAST",441.2,2005,3425,3977
"481","CRANBOURNE EAST",441.2,2014,14334,3977
"482","CRANBOURNE EAST",441.2,2012,9787,3977
"483","CRANBOURNE EAST",441.2,2008,5350,3977
"484","CRANBOURNE EAST",441.2,2015,18923,3977
"485","CRANBOURNE NORTH",1862.4,2011,14826,3977
"486","CRANBOURNE NORTH",1862.4,2013,16652,3977
"487","CRANBOURNE NORTH",1862.4,2006,9886,3977
"488","CRANBOURNE NORTH",1862.4,2012,15801,3977
"489","CRANBOURNE NORTH",1862.4,2015,19070,3977
"490","CRANBOURNE NORTH",1862.4,2014,17673,3977
"491","CRANBOURNE NORTH",1862.4,2009,12536,3977
"492","CRANBOURNE NORTH",1862.4,2010,13655,3977
"493","CRANBOURNE NORTH",1862.4,2007,10632,3977
"494","CRANBOURNE NORTH",1862.4,2005,9565,3977
"495","CRANBOURNE NORTH",1862.4,2008,11516,3977
"496","CRANBOURNE SOUTH",109.5,2009,5833,3977
"497","CRANBOURNE SOUTH",109.5,2013,8270,3977
"498","CRANBOURNE SOUTH",109.5,2006,5070,3977
"499","CRANBOURNE SOUTH",109.5,2007,5141,3977
"500","CRANBOURNE SOUTH",109.5,2005,4925,3977
"501","CRANBOURNE SOUTH",109.5,2008,5419,3977
"502","CRANBOURNE SOUTH",109.5,2014,8616,3977
"503","CRANBOURNE SOUTH",109.5,2015,8945,3977
"504","CRANBOURNE SOUTH",109.5,2011,6880,3977
"505","CRANBOURNE SOUTH",109.5,2012,7419,3977
"506","CRANBOURNE SOUTH",109.5,2010,6311,3977
"507","CRANBOURNE WEST",967.1,2015,12474,3977
"508","CRANBOURNE WEST",967.1,2013,10598,3977
"509","CRANBOURNE WEST",967.1,2009,8571,3977
"510","CRANBOURNE WEST",967.1,2007,7880,3977
"511","CRANBOURNE WEST",967.1,2011,9000,3977
"512","CRANBOURNE WEST",967.1,2006,7584,3977
"513","CRANBOURNE WEST",967.1,2012,9629,3977
"514","CRANBOURNE WEST",967.1,2008,8208,3977
"515","CRANBOURNE WEST",967.1,2014,11743,3977
"516","CRANBOURNE WEST",967.1,2005,7238,3977
"517","CRANBOURNE WEST",967.1,2010,8837,3977
"518","CROYDON",1851.7,2012,30891,3136
"519","CROYDON",1851.7,2014,32225,3136
"520","CROYDON",1851.7,2015,32862,3136
"521","CROYDON",1851.7,2006,28266,3136
"522","CROYDON",1851.7,2008,29232,3136
"523","CROYDON",1851.7,2007,28698,3136
"524","CROYDON",1851.7,2005,28039,3136
"525","CROYDON",1851.7,2011,30526,3136
"526","CROYDON",1851.7,2013,31500,3136
"527","CROYDON",1851.7,2009,29917,3136
"528","CROYDON",1851.7,2010,30192,3136
"529","DANDENONG",494.8,2008,25250,3175
"530","DANDENONG",494.8,2005,22980,3175
"531","DANDENONG",494.8,2011,27414,3175
"532","DANDENONG",494.8,2010,26613,3175
"533","DANDENONG",494.8,2012,28213,3175
"534","DANDENONG",494.8,2007,24232,3175
"535","DANDENONG",494.8,2015,30575,3175
"536","DANDENONG",494.8,2013,29108,3175
"537","DANDENONG",494.8,2014,29895,3175
"538","DANDENONG",494.8,2006,23246,3175
"539","DANDENONG",494.8,2009,25915,3175
"540","DANDENONG NORTH",2470.9,2007,22875,3175
"541","DANDENONG NORTH",2470.9,2014,23421,3175
"542","DANDENONG NORTH",2470.9,2012,23088,3175
"543","DANDENONG NORTH",2470.9,2011,22949,3175
"544","DANDENONG NORTH",2470.9,2015,23561,3175
"545","DANDENONG NORTH",2470.9,2013,23204,3175
"546","DANDENONG NORTH",2470.9,2009,23010,3175
"547","DANDENONG NORTH",2470.9,2010,22983,3175
"548","DANDENONG NORTH",2470.9,2008,22965,3175
"549","DANDENONG NORTH",2470.9,2006,22847,3175
"550","DANDENONG NORTH",2470.9,2005,22815,3175
"551","DELACOMBE",194.7,2006,5041,3356
"552","DELACOMBE",194.7,2010,5699,3356
"553","DELACOMBE",194.7,2011,5838,3356
"554","DELACOMBE",194.7,2008,5349,3356
"555","DELACOMBE",194.7,2013,6184,3356
"556","DELACOMBE",194.7,2005,4704,3356
"557","DELACOMBE",194.7,2015,6650,3356
"558","DELACOMBE",194.7,2012,5981,3356
"559","DELACOMBE",194.7,2009,5557,3356
"560","DELACOMBE",194.7,2014,6463,3356
"561","DELACOMBE",194.7,2007,5206,3356
"562","DELAHEY",2508.1,2007,9042,3037
"563","DELAHEY",2508.1,2005,8954,3037
"564","DELAHEY",2508.1,2006,9049,3037
"565","DELAHEY",2508.1,2015,8792,3037
"566","DELAHEY",2508.1,2008,9038,3037
"567","DELAHEY",2508.1,2011,8769,3037
"568","DELAHEY",2508.1,2014,8816,3037
"569","DELAHEY",2508.1,2009,9003,3037
"570","DELAHEY",2508.1,2013,8730,3037
"571","DELAHEY",2508.1,2010,8896,3037
"572","DELAHEY",2508.1,2012,8755,3037
"573","DINGLEY VILLAGE",1438,2011,10568,3172
"574","DINGLEY VILLAGE",1438,2005,10375,3172
"575","DINGLEY VILLAGE",1438,2006,10374,3172
"576","DINGLEY VILLAGE",1438,2008,10454,3172
"577","DINGLEY VILLAGE",1438,2015,10416,3172
"578","DINGLEY VILLAGE",1438,2014,10513,3172
"579","DINGLEY VILLAGE",1438,2009,10505,3172
"580","DINGLEY VILLAGE",1438,2007,10420,3172
"581","DINGLEY VILLAGE",1438,2010,10549,3172
"582","DINGLEY VILLAGE",1438,2013,10567,3172
"583","DINGLEY VILLAGE",1438,2012,10589,3172
"584","DOCKLANDS",2955.1,2006,4152,3008
"585","DOCKLANDS",2955.1,2013,7425,3008
"586","DOCKLANDS",2955.1,2010,5780,3008
"587","DOCKLANDS",2955.1,2008,5040,3008
"588","DOCKLANDS",2955.1,2007,4592,3008
"589","DOCKLANDS",2955.1,2011,6196,3008
"590","DOCKLANDS",2955.1,2009,5402,3008
"591","DOCKLANDS",2955.1,2012,6447,3008
"592","DOCKLANDS",2955.1,2005,3779,3008
"593","DOCKLANDS",2955.1,2014,8157,3008
"594","DOCKLANDS",2955.1,2015,8871,3008
"595","DONCASTER",2312.1,2011,19343,3108
"596","DONCASTER",2312.1,2012,19478,3108
"597","DONCASTER",2312.1,2014,20013,3108
"598","DONCASTER",2312.1,2007,18717,3108
"599","DONCASTER",2312.1,2005,18562,3108
"600","DONCASTER",2312.1,2009,19015,3108
"601","DONCASTER",2312.1,2006,18599,3108
"602","DONCASTER",2312.1,2013,19727,3108
"603","DONCASTER",2312.1,2008,18834,3108
"604","DONCASTER",2312.1,2015,20287,3108
"605","DONCASTER",2312.1,2010,19131,3108
"606","DONCASTER EAST",2632.9,2015,29415,3109
"607","DONCASTER EAST",2632.9,2014,29136,3109
"608","DONCASTER EAST",2632.9,2012,28536,3109
"609","DONCASTER EAST",2632.9,2005,27330,3109
"610","DONCASTER EAST",2632.9,2010,28317,3109
"611","DONCASTER EAST",2632.9,2011,28356,3109
"612","DONCASTER EAST",2632.9,2009,28270,3109
"613","DONCASTER EAST",2632.9,2013,28609,3109
"614","DONCASTER EAST",2632.9,2008,28056,3109
"615","DONCASTER EAST",2632.9,2007,27743,3109
"616","DONCASTER EAST",2632.9,2006,27439,3109
"617","DOVETON",2185.8,2015,11381,3177
"618","DOVETON",2185.8,2013,11116,3177
"619","DOVETON",2185.8,2006,9672,3177
"620","DOVETON",2185.8,2010,10436,3177
"621","DOVETON",2185.8,2005,9769,3177
"622","DOVETON",2185.8,2009,10192,3177
"623","DOVETON",2185.8,2008,9979,3177
"624","DOVETON",2185.8,2014,11378,3177
"625","DOVETON",2185.8,2007,9823,3177
"626","DOVETON",2185.8,2012,10850,3177
"627","DOVETON",2185.8,2011,10695,3177
"628","DROMANA",236.3,2013,9889,3936
"629","DROMANA",236.3,2008,9054,3936
"630","DROMANA",236.3,2011,9333,3936
"631","DROMANA",236.3,2015,10645,3936
"632","DROMANA",236.3,2005,8588,3936
"633","DROMANA",236.3,2007,8830,3936
"634","DROMANA",236.3,2014,10097,3936
"635","DROMANA",236.3,2006,8636,3936
"636","DROMANA",236.3,2010,9249,3936
"637","DROMANA",236.3,2009,9231,3936
"638","DROMANA",236.3,2012,9551,3936
"639","EAST MELBOURNE",1865.7,2011,5238,3002
"640","EAST MELBOURNE",1865.7,2008,5055,3002
"641","EAST MELBOURNE",1865.7,2010,5272,3002
"642","EAST MELBOURNE",1865.7,2005,4495,3002
"643","EAST MELBOURNE",1865.7,2012,5273,3002
"644","EAST MELBOURNE",1865.7,2007,4806,3002
"645","EAST MELBOURNE",1865.7,2009,5202,3002
"646","EAST MELBOURNE",1865.7,2006,4555,3002
"647","EAST MELBOURNE",1865.7,2013,5348,3002
"648","EAST MELBOURNE",1865.7,2015,5410,3002
"649","EAST MELBOURNE",1865.7,2014,5379,3002
"650","ELSTERNWICK",4127.9,2015,11813,3185
"651","ELSTERNWICK",4127.9,2009,11199,3185
"652","ELSTERNWICK",4127.9,2014,11648,3185
"653","ELSTERNWICK",4127.9,2005,10527,3185
"654","ELSTERNWICK",4127.9,2008,11031,3185
"655","ELSTERNWICK",4127.9,2011,11292,3185
"656","ELSTERNWICK",4127.9,2010,11278,3185
"657","ELSTERNWICK",4127.9,2007,10878,3185
"658","ELSTERNWICK",4127.9,2013,11445,3185
"659","ELSTERNWICK",4127.9,2012,11339,3185
"660","ELSTERNWICK",4127.9,2006,10668,3185
"661","ELTHAM",1201.3,2010,23791,3095
"662","ELTHAM",1201.3,2012,23603,3095
"663","ELTHAM",1201.3,2015,23411,3095
"664","ELTHAM",1201.3,2008,23863,3095
"665","ELTHAM",1201.3,2013,23574,3095
"666","ELTHAM",1201.3,2007,23898,3095
"667","ELTHAM",1201.3,2006,23965,3095
"668","ELTHAM",1201.3,2009,23865,3095
"669","ELTHAM",1201.3,2014,23664,3095
"670","ELTHAM",1201.3,2011,23651,3095
"671","ELTHAM",1201.3,2005,24051,3095
"672","ELWOOD",6456.4,2009,15425,3184
"673","ELWOOD",6456.4,2006,14477,3184
"674","ELWOOD",6456.4,2014,16344,3184
"675","ELWOOD",6456.4,2012,15904,3184
"676","ELWOOD",6456.4,2013,16079,3184
"677","ELWOOD",6456.4,2015,16487,3184
"678","ELWOOD",6456.4,2007,14790,3184
"679","ELWOOD",6456.4,2008,15076,3184
"680","ELWOOD",6456.4,2011,15666,3184
"681","ELWOOD",6456.4,2010,15552,3184
"682","ELWOOD",6456.4,2005,14216,3184
"683","ENDEAVOUR HILLS",1307.4,2005,27011,3802
"684","ENDEAVOUR HILLS",1307.4,2015,26226,3802
"685","ENDEAVOUR HILLS",1307.4,2006,26861,3802
"686","ENDEAVOUR HILLS",1307.4,2014,26485,3802
"687","ENDEAVOUR HILLS",1307.4,2010,26733,3802
"688","ENDEAVOUR HILLS",1307.4,2011,26650,3802
"689","ENDEAVOUR HILLS",1307.4,2009,26769,3802
"690","ENDEAVOUR HILLS",1307.4,2007,26750,3802
"691","ENDEAVOUR HILLS",1307.4,2012,26627,3802
"692","ENDEAVOUR HILLS",1307.4,2013,26392,3802
"693","ENDEAVOUR HILLS",1307.4,2008,26762,3802
"694","EPPING",459,2008,22530,3076
"695","EPPING",459,2005,19868,3076
"696","EPPING",459,2015,38964,3076
"697","EPPING",459,2009,23986,3076
"698","EPPING",459,2007,21238,3076
"699","EPPING",459,2011,27888,3076
"700","EPPING",459,2012,30402,3076
"701","EPPING",459,2006,20121,3076
"702","EPPING",459,2014,35648,3076
"703","EPPING",459,2010,24968,3076
"704","EPPING",459,2013,33146,3076
"705","FAWKNER",2807.3,2014,13952,3060
"706","FAWKNER",2807.3,2011,13171,3060
"707","FAWKNER",2807.3,2012,13341,3060
"708","FAWKNER",2807.3,2015,14275,3060
"709","FAWKNER",2807.3,2005,12167,3060
"710","FAWKNER",2807.3,2013,13572,3060
"711","FAWKNER",2807.3,2009,12970,3060
"712","FAWKNER",2807.3,2007,12481,3060
"713","FAWKNER",2807.3,2010,13106,3060
"714","FAWKNER",2807.3,2008,12674,3060
"715","FAWKNER",2807.3,2006,12250,3060
"716","FERNTREE GULLY",1784.9,2006,27730,3156
"717","FERNTREE GULLY",1784.9,2013,28971,3156
"718","FERNTREE GULLY",1784.9,2007,27939,3156
"719","FERNTREE GULLY",1784.9,2009,28780,3156
"720","FERNTREE GULLY",1784.9,2014,28871,3156
"721","FERNTREE GULLY",1784.9,2008,28205,3156
"722","FERNTREE GULLY",1784.9,2012,28995,3156
"723","FERNTREE GULLY",1784.9,2005,27681,3156
"724","FERNTREE GULLY",1784.9,2015,28913,3156
"725","FERNTREE GULLY",1784.9,2010,28946,3156
"726","FERNTREE GULLY",1784.9,2011,28948,3156
"727","FITZROY",8265.8,2014,11052,3065
"728","FITZROY",8265.8,2010,10238,3065
"729","FITZROY",8265.8,2006,9241,3065
"730","FITZROY",8265.8,2015,11386,3065
"731","FITZROY",8265.8,2008,9857,3065
"732","FITZROY",8265.8,2011,10214,3065
"733","FITZROY",8265.8,2012,10563,3065
"734","FITZROY",8265.8,2009,10050,3065
"735","FITZROY",8265.8,2007,9596,3065
"736","FITZROY",8265.8,2005,8961,3065
"737","FITZROY",8265.8,2013,10815,3065
"738","FITZROY NORTH",5189.9,2010,12163,3068
"739","FITZROY NORTH",5189.9,2014,12703,3068
"740","FITZROY NORTH",5189.9,2005,11486,3068
"741","FITZROY NORTH",5189.9,2007,11725,3068
"742","FITZROY NORTH",5189.9,2013,12445,3068
"743","FITZROY NORTH",5189.9,2015,13000,3068
"744","FITZROY NORTH",5189.9,2012,12351,3068
"745","FITZROY NORTH",5189.9,2011,12143,3068
"746","FITZROY NORTH",5189.9,2006,11606,3068
"747","FITZROY NORTH",5189.9,2008,11937,3068
"748","FITZROY NORTH",5189.9,2009,12104,3068
"749","FLEMINGTON",6322.1,2007,8661,3031
"750","FLEMINGTON",6322.1,2014,9900,3031
"751","FLEMINGTON",6322.1,2011,9547,3031
"752","FLEMINGTON",6322.1,2012,9654,3031
"753","FLEMINGTON",6322.1,2010,9261,3031
"754","FLEMINGTON",6322.1,2009,9030,3031
"755","FLEMINGTON",6322.1,2015,9994,3031
"756","FLEMINGTON",6322.1,2008,8841,3031
"757","FLEMINGTON",6322.1,2013,9791,3031
"758","FLEMINGTON",6322.1,2005,8240,3031
"759","FLEMINGTON",6322.1,2006,8410,3031
"760","FOOTSCRAY",3299.1,2008,12462,3011
"761","FOOTSCRAY",3299.1,2005,11731,3011
"762","FOOTSCRAY",3299.1,2009,12815,3011
"763","FOOTSCRAY",3299.1,2015,16387,3011
"764","FOOTSCRAY",3299.1,2014,16032,3011
"765","FOOTSCRAY",3299.1,2011,14025,3011
"766","FOOTSCRAY",3299.1,2013,15243,3011
"767","FOOTSCRAY",3299.1,2012,14331,3011
"768","FOOTSCRAY",3299.1,2007,12085,3011
"769","FOOTSCRAY",3299.1,2010,13214,3011
"770","FOOTSCRAY",3299.1,2006,11828,3011
"771","FOREST HILL",2666,2011,10430,3131
"772","FOREST HILL",2666,2010,10370,3131
"773","FOREST HILL",2666,2013,10626,3131
"774","FOREST HILL",2666,2008,10180,3131
"775","FOREST HILL",2666,2012,10479,3131
"776","FOREST HILL",2666,2014,10763,3131
"777","FOREST HILL",2666,2006,10010,3131
"778","FOREST HILL",2666,2015,10852,3131
"779","FOREST HILL",2666,2005,9976,3131
"780","FOREST HILL",2666,2009,10321,3131
"781","FOREST HILL",2666,2007,10124,3131
"782","FRANKSTON",1975.1,2010,22239,3199
"783","FRANKSTON",1975.1,2009,22103,3199
"784","FRANKSTON",1975.1,2011,22301,3199
"785","FRANKSTON",1975.1,2014,22660,3199
"786","FRANKSTON",1975.1,2013,22532,3199
"787","FRANKSTON",1975.1,2008,21951,3199
"788","FRANKSTON",1975.1,2007,21697,3199
"789","FRANKSTON",1975.1,2015,22960,3199
"790","FRANKSTON",1975.1,2012,22377,3199
"791","FRANKSTON",1975.1,2006,21540,3199
"792","FRANKSTON",1975.1,2005,21540,3199
"793","FRANKSTON NORTH",1477.9,2011,19620,3200
"794","FRANKSTON NORTH",1477.9,2005,19255,3200
"795","FRANKSTON NORTH",1477.9,2006,19105,3200
"796","FRANKSTON NORTH",1477.9,2014,19590,3200
"797","FRANKSTON NORTH",1477.9,2009,19458,3200
"798","FRANKSTON NORTH",1477.9,2007,19160,3200
"799","FRANKSTON NORTH",1477.9,2010,19581,3200
"800","FRANKSTON NORTH",1477.9,2013,19488,3200
"801","FRANKSTON NORTH",1477.9,2015,19565,3200
"802","FRANKSTON NORTH",1477.9,2012,19672,3200
"803","FRANKSTON NORTH",1477.9,2008,19289,3200
"804","FRANKSTON SOUTH",1275.6,2006,17722,3199
"805","FRANKSTON SOUTH",1275.6,2008,17928,3199
"806","FRANKSTON SOUTH",1275.6,2015,18574,3199
"807","FRANKSTON SOUTH",1275.6,2009,18084,3199
"808","FRANKSTON SOUTH",1275.6,2010,18176,3199
"809","FRANKSTON SOUTH",1275.6,2013,18472,3199
"810","FRANKSTON SOUTH",1275.6,2005,17519,3199
"811","FRANKSTON SOUTH",1275.6,2011,18260,3199
"812","FRANKSTON SOUTH",1275.6,2012,18338,3199
"813","FRANKSTON SOUTH",1275.6,2014,18539,3199
"814","FRANKSTON SOUTH",1275.6,2007,17823,3199
"815","GEELONG",1011.2,2011,12422,3220
"816","GEELONG",1011.2,2013,12599,3220
"817","GEELONG",1011.2,2006,11996,3220
"818","GEELONG",1011.2,2010,12342,3220
"819","GEELONG",1011.2,2009,12237,3220
"820","GEELONG",1011.2,2012,12506,3220
"821","GEELONG",1011.2,2014,12703,3220
"822","GEELONG",1011.2,2008,12151,3220
"823","GEELONG",1011.2,2005,12027,3220
"824","GEELONG",1011.2,2007,12078,3220
"825","GEELONG",1011.2,2015,12819,3220
"826","GREENSBOROUGH",2094.9,2009,20963,3088
"827","GREENSBOROUGH",2094.9,2008,20909,3088
"828","GREENSBOROUGH",2094.9,2014,21085,3088
"829","GREENSBOROUGH",2094.9,2010,20995,3088
"830","GREENSBOROUGH",2094.9,2006,20717,3088
"831","GREENSBOROUGH",2094.9,2005,20656,3088
"832","GREENSBOROUGH",2094.9,2015,21152,3088
"833","GREENSBOROUGH",2094.9,2007,20828,3088
"834","GREENSBOROUGH",2094.9,2011,20987,3088
"835","GREENSBOROUGH",2094.9,2013,21002,3088
"836","GREENSBOROUGH",2094.9,2012,20940,3088
"837","GROVEDALE",399.4,2014,21288,3216
"838","GROVEDALE",399.4,2009,19198,3216
"839","GROVEDALE",399.4,2005,16867,3216
"840","GROVEDALE",399.4,2008,18699,3216
"841","GROVEDALE",399.4,2007,18117,3216
"842","GROVEDALE",399.4,2015,22238,3216
"843","GROVEDALE",399.4,2012,20377,3216
"844","GROVEDALE",399.4,2006,17529,3216
"845","GROVEDALE",399.4,2010,19692,3216
"846","GROVEDALE",399.4,2011,20136,3216
"847","GROVEDALE",399.4,2013,20874,3216
"848","HALLAM",1366.5,2005,9855,3803
"849","HALLAM",1366.5,2012,10790,3803
"850","HALLAM",1366.5,2010,10582,3803
"851","HALLAM",1366.5,2011,10628,3803
"852","HALLAM",1366.5,2006,9923,3803
"853","HALLAM",1366.5,2015,11008,3803
"854","HALLAM",1366.5,2013,10827,3803
"855","HALLAM",1366.5,2008,10228,3803
"856","HALLAM",1366.5,2014,10937,3803
"857","HALLAM",1366.5,2007,10038,3803
"858","HALLAM",1366.5,2009,10430,3803
"859","HAMPTON",3245.3,2014,18292,3188
"860","HAMPTON",3245.3,2013,18076,3188
"861","HAMPTON",3245.3,2008,17042,3188
"862","HAMPTON",3245.3,2009,17302,3188
"863","HAMPTON",3245.3,2012,17880,3188
"864","HAMPTON",3245.3,2005,16326,3188
"865","HAMPTON",3245.3,2007,16790,3188
"866","HAMPTON",3245.3,2010,17471,3188
"867","HAMPTON",3245.3,2006,16568,3188
"868","HAMPTON",3245.3,2015,18450,3188
"869","HAMPTON",3245.3,2011,17699,3188
"870","HAWTHORN",4232.6,2008,21091,3122
"871","HAWTHORN",4232.6,2014,23510,3122
"872","HAWTHORN",4232.6,2005,20326,3122
"873","HAWTHORN",4232.6,2015,24019,3122
"874","HAWTHORN",4232.6,2010,21721,3122
"875","HAWTHORN",4232.6,2011,22013,3122
"876","HAWTHORN",4232.6,2009,21470,3122
"877","HAWTHORN",4232.6,2007,20863,3122
"878","HAWTHORN",4232.6,2013,23157,3122
"879","HAWTHORN",4232.6,2006,20531,3122
"880","HAWTHORN",4232.6,2012,22315,3122
"881","HAWTHORN EAST",4129.4,2010,14369,3123
"882","HAWTHORN EAST",4129.4,2014,15034,3123
"883","HAWTHORN EAST",4129.4,2005,13505,3123
"884","HAWTHORN EAST",4129.4,2006,13626,3123
"885","HAWTHORN EAST",4129.4,2008,14022,3123
"886","HAWTHORN EAST",4129.4,2009,14241,3123
"887","HAWTHORN EAST",4129.4,2012,14519,3123
"888","HAWTHORN EAST",4129.4,2007,13835,3123
"889","HAWTHORN EAST",4129.4,2015,15795,3123
"890","HAWTHORN EAST",4129.4,2013,14604,3123
"891","HAWTHORN EAST",4129.4,2011,14417,3123
"892","HEIDELBERG WEST",2256.4,2009,13694,3081
"893","HEIDELBERG WEST",2256.4,2012,14207,3081
"894","HEIDELBERG WEST",2256.4,2014,14826,3081
"895","HEIDELBERG WEST",2256.4,2015,15098,3081
"896","HEIDELBERG WEST",2256.4,2013,14474,3081
"897","HEIDELBERG WEST",2256.4,2007,13385,3081
"898","HEIDELBERG WEST",2256.4,2011,13984,3081
"899","HEIDELBERG WEST",2256.4,2006,13271,3081
"900","HEIDELBERG WEST",2256.4,2005,13224,3081
"901","HEIDELBERG WEST",2256.4,2008,13480,3081
"902","HEIDELBERG WEST",2256.4,2010,13798,3081
"903","HIGHTON",542.1,2011,19834,3216
"904","HIGHTON",542.1,2014,21643,3216
"905","HIGHTON",542.1,2006,17726,3216
"906","HIGHTON",542.1,2013,20929,3216
"907","HIGHTON",542.1,2005,17313,3216
"908","HIGHTON",542.1,2008,18480,3216
"909","HIGHTON",542.1,2010,19449,3216
"910","HIGHTON",542.1,2007,18100,3216
"911","HIGHTON",542.1,2015,22051,3216
"912","HIGHTON",542.1,2012,20292,3216
"913","HIGHTON",542.1,2009,18991,3216
"914","HILLSIDE",283.8,2013,16788,3875
"915","HILLSIDE",283.8,2006,14034,3875
"916","HILLSIDE",283.8,2015,18887,3875
"917","HILLSIDE",283.8,2005,13302,3875
"918","HILLSIDE",283.8,2011,16180,3875
"919","HILLSIDE",283.8,2012,16347,3875
"920","HILLSIDE",283.8,2007,14579,3875
"921","HILLSIDE",283.8,2008,15111,3875
"922","HILLSIDE",283.8,2014,17698,3875
"923","HILLSIDE",283.8,2009,15579,3875
"924","HILLSIDE",283.8,2010,15901,3875
"925","HUGHESDALE",3908.6,2013,7634,3166
"926","HUGHESDALE",3908.6,2006,6764,3166
"927","HUGHESDALE",3908.6,2005,6636,3166
"928","HUGHESDALE",3908.6,2014,7732,3166
"929","HUGHESDALE",3908.6,2011,7384,3166
"930","HUGHESDALE",3908.6,2012,7523,3166
"931","HUGHESDALE",3908.6,2007,7045,3166
"932","HUGHESDALE",3908.6,2010,7485,3166
"933","HUGHESDALE",3908.6,2015,7855,3166
"934","HUGHESDALE",3908.6,2008,7253,3166
"935","HUGHESDALE",3908.6,2009,7465,3166
"936","HURSTBRIDGE",239.5,2010,3668,3099
"937","HURSTBRIDGE",239.5,2006,3665,3099
"938","HURSTBRIDGE",239.5,2014,3563,3099
"939","HURSTBRIDGE",239.5,2013,3600,3099
"940","HURSTBRIDGE",239.5,2015,3554,3099
"941","HURSTBRIDGE",239.5,2012,3626,3099
